,Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
2,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,200x200-200x200,3.0,0.076 m²,0.000 m²,,,
3,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,250x250-250x250,24.0,0.746 m²,0.000 m²,,,
4,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,300x250-300x250,33.0,1.119 m²,0.000 m²,,,
5,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,300x300-300x300,7.0,0.257 m²,0.000 m²,,,
6,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,400x250-400x250,24.0,0.951 m²,0.000 m²,,,
7,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,400x300-400x300,23.0,0.977 m²,0.000 m²,,,
8,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,400x350-400x350,3.0,0.136 m²,0.000 m²,,,
9,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,450x250-450x250,3.0,0.127 m²,0.000 m²,,,
10,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,500x250-500x250,12.0,0.544 m²,0.000 m²,,,
11,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,500x300-500x300,1.0,0.048 m²,0.000 m²,,,
12,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,500x350-500x350,8.0,0.408 m²,0.000 m²,,,
13,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,550x400-550x400,20.0,1.134 m²,0.000 m²,,,
14,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,650x300-650x300,2.0,0.113 m²,0.000 m²,,,
15,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,650x350-650x350,6.0,0.357 m²,0.000 m²,,,
16,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,700x400-700x400,12.0,0.783 m²,0.000 m²,,,
17,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,700x450-700x450,3.0,0.204 m²,0.000 m²,,,
18,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,750x500-750x500,2.0,0.148 m²,0.000 m²,,,
19,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,800x400-800x400,20.0,1.419 m²,0.000 m²,,,
20,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,800x500-800x500,3.0,0.230 m²,0.000 m²,,,
21,M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,900x300-900x300,5.0,0.355 m²,0.000 m²,,,
22,M_Rectangular Wye - Curved - Transition: Standard,Duct Wrap,25 mm,350x850-350x850-350x850,1.0,0.000 m²,0.000 m²,,,
23,M_Rectangular Wye - Curved - Transition: Standard,Duct Wrap,25 mm,500x250-400x250-400x250,1.0,0.000 m²,0.000 m²,,,
24,M_Rectangular Wye - Curved - Transition: Standard,Duct Wrap,25 mm,650x350-300x350-400x350,1.0,0.000 m²,0.000 m²,,,
25,M_Rectangular Wye - Dovetail: Standard,Duct Wrap,25 mm,1700x350-800x350-800x350,2.0,0.000 m²,0.000 m²,,,
26,M_Rectangular Wye - Dovetail: Standard,Duct Wrap,25 mm,1700x400-800x400-800x400,2.0,0.000 m²,0.000 m²,,,
28,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,150x300-150x300,6.0,0.000 m²,0.318 m²,,30.00°,0.75
29,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,150x550-150x550,2.0,0.000 m²,0.247 m²,,45.00°,0.75
30,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x200-200x200,4.0,0.000 m²,0.377 m²,,45.00°,0.75
31,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x250-200x250,4.0,0.000 m²,0.283 m²,,30.00°,0.75
32,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x250-200x250,3.0,0.000 m²,0.636 m²,,90.00°,0.75
33,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x300-200x300,1.0,0.000 m²,0.118 m²,,45.00°,0.75
34,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x300-200x300,2.0,0.000 m²,0.471 m²,,90.00°,0.75
35,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x400-200x400,4.0,0.000 m²,0.565 m²,,45.00°,0.75
36,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x450-200x450,8.0,0.000 m²,1.225 m²,,45.00°,0.75
37,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x450-200x450,1.0,0.000 m²,0.306 m²,,90.00°,0.75
38,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x500-200x500,2.0,0.000 m²,0.660 m²,,90.00°,0.75
39,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x200-250x200,2.0,0.000 m²,0.530 m²,,90.00°,0.75
40,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x250-250x250,17.0,0.000 m²,5.007 m²,,90.00°,0.75
41,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x300-250x300,6.0,0.000 m²,0.972 m²,,45.00°,0.75
42,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x300-250x300,2.0,0.000 m²,0.648 m²,,90.00°,0.75
43,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x450-250x450,4.0,0.000 m²,0.550 m²,,30.00°,0.75
44,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x450-250x450,2.0,0.000 m²,0.412 m²,,45.00°,0.75
45,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x450-250x450,2.0,0.000 m²,0.825 m²,,90.00°,0.75
46,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x550-250x550,1.0,0.000 m²,0.471 m²,,90.00°,0.75
47,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x150-300x150,1.0,0.000 m²,0.318 m²,,90.00°,0.75
48,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x200-300x200,1.0,0.000 m²,0.177 m²,,45.00°,0.75
49,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x250-300x250,2.0,0.000 m²,0.778 m²,,90.00°,0.75
50,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x300-300x300,2.0,0.000 m²,0.848 m²,,90.00°,0.75
51,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x350-300x350,2.0,0.000 m²,0.919 m²,,90.00°,0.75
52,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x650-300x650,6.0,0.000 m²,2.015 m²,,45.00°,0.75
53,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x200-350x200,4.0,0.000 m²,1.814 m²,,90.00°,0.75
54,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x300-350x300,2.0,0.000 m²,0.536 m²,,45.00°,0.75
55,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x350-350x350,10.0,0.000 m²,5.773 m²,,90.00°,0.75
56,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x400-350x400,2.0,0.000 m²,1.237 m²,,90.00°,0.75
57,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x650-350x650,3.0,0.000 m²,2.474 m²,,90.00°,0.75
58,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x700-350x700,4.0,0.000 m²,3.464 m²,,90.00°,0.75
59,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x150-400x150,1.0,0.000 m²,0.518 m²,,90.00°,0.75
60,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x200-400x200,8.0,0.000 m²,4.524 m²,,90.00°,0.75
61,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x250-400x250,4.0,0.000 m²,2.450 m²,,90.00°,0.75
62,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x300-400x300,2.0,0.000 m²,0.660 m²,,45.00°,0.75
63,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x300-400x300,2.0,0.000 m²,1.319 m²,,90.00°,0.75
64,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x400-400x400,1.0,0.000 m²,0.754 m²,,90.00°,0.75
65,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x500-400x500,3.0,0.000 m²,2.545 m²,,90.00°,0.75
66,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,450x200-450x200,1.0,0.000 m²,0.689 m²,,90.00°,0.75
67,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,450x250-450x250,2.0,0.000 m²,1.484 m²,,90.00°,0.75
68,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x150-500x150,1.0,0.000 m²,0.766 m²,,90.00°,0.75
69,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x250-500x250,3.0,0.000 m²,2.651 m²,,90.00°,0.75
70,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x300-500x300,1.0,0.000 m²,0.942 m²,,90.00°,0.75
71,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x350-500x350,3.0,0.000 m²,3.004 m²,,90.00°,0.75
72,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x400-500x400,3.0,0.000 m²,3.181 m²,,90.00°,0.75
73,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x150-550x150,1.0,0.000 m²,0.907 m²,,90.00°,0.75
74,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x250-550x250,1.0,0.000 m²,1.037 m²,,90.00°,0.75
75,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,550x400-550x400,4.0,0.000 m²,4.924 m²,,90.00°,0.75
76,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,650x350-650x350,3.0,0.000 m²,4.595 m²,,90.00°,0.75
77,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,250x250-250x250,3.0,0.000 m²,0.000 m²,,,
78,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x150-300x150,2.0,0.000 m²,0.000 m²,,,
79,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x200-300x200,1.0,0.000 m²,0.000 m²,,,
80,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x250-300x250,1.0,0.000 m²,0.000 m²,,,
81,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x300-300x300,6.0,0.000 m²,0.000 m²,,,
82,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x350-300x350,1.0,0.000 m²,0.000 m²,,,
83,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,400x200-400x200,1.0,0.000 m²,0.000 m²,,,
84,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,450x200-450x200,4.0,0.000 m²,0.000 m²,,,
85,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,450x250-450x250,3.0,0.000 m²,0.000 m²,,,
86,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,500x250-500x250,3.0,0.000 m²,0.000 m²,,,
87,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,550x400-550x400,4.0,0.000 m²,0.000 m²,,,
88,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,650x300-650x300,4.0,0.000 m²,0.000 m²,,,
89,M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,200x200-200x200,1.0,0.049 m²,0.000 m²,,,
90,M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,400x150-400x150,2.0,0.131 m²,0.000 m²,,,
91,M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,750x150-750x150,2.0,0.208 m²,0.000 m²,,,
92,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,200x400,1.0,0.000 m²,0.000 m²,,,
93,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,250x250,6.0,0.000 m²,0.000 m²,,,
94,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,250x350,1.0,0.000 m²,0.000 m²,,,
95,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,300x350,5.0,0.000 m²,0.000 m²,,,
96,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,400x200,1.0,0.000 m²,0.000 m²,,,
97,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,400x300,2.0,0.000 m²,0.000 m²,,,
98,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,500x300,1.0,0.000 m²,0.000 m²,,,
99,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,500x350,3.0,0.000 m²,0.000 m²,,,
100,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,650x350,1.0,0.000 m²,0.000 m²,,,
101,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,700x350,4.0,0.000 m²,0.000 m²,,,
102,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,150x300-300x150,1.0,0.287 m²,0.000 m²,Equal Taper,,
103,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,200x200-200x150,1.0,0.233 m²,0.000 m²,Flat on Right and Left,,
104,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,200x300-300x200,1.0,0.341 m²,0.000 m²,Equal Taper,,
105,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x200-200x200,1.0,0.276 m²,0.000 m²,Flat on Top and Bottom,,
106,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x200-300x150,1.0,0.296 m²,0.000 m²,Equal Taper,,
107,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x250-200x200,1.0,0.300 m²,0.000 m²,Equal Taper,,
108,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x250-200x250,1.0,0.320 m²,0.000 m²,Flat on Top and Bottom,,
